Event Id,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft damage,Aircraft Category,Make,Model,Amateur Built,Number of Engines,Engine Type,Purpose of flight,Air carrier,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad phase of flight,City,State,Year,Month,Day,Number of Passengers,Survival rate
20070806X01122,2007-06-08,"GALLATIN, TN",United States,Sumner County,Non-Fatal,Substantial,Airplane,Raytheon  craft,A36,No,1.0,Reciprocating,Business,,0.0,2.0,2.0,0.0,VMC,Descent,Gallatin, TN,2007,6,8,4.0,1.0
20070920X01422,2007-09-05,"LAKELAND, FL",United States,Lakeland Linder Regional,Non-Fatal,Substantial,Helicopter,Bell,206B3,No,1.0,Turbo Shaft,Business,,0.0,0.0,0.0,4.0,VMC,Descent,Lakeland, FL,2007,9,5,4.0,1.0
20070923X01430,2007-09-12,"FORT STOCKTON, TX",United States,,Non-Fatal,Substantial,Helicopter,Robinson,R22 BETA,No,1.0,Reciprocating,Business,,0.0,1.0,1.0,0.0,VMC,Climb,Fort Stockton, TX,2007,9,12,2.0,1.0
20071005X01521,2007-08-15,"Alton, IL",United States,St. Louis Regional Airport,Incident,Minor,Airplane,Piper,PA-32R-301T,No,1.0,Reciprocating,Business,,0.0,0.0,0.0,1.0,VMC,Descent,Alton, IL,2007,8,15,1.0,1.0
20071105X01726,2007-10-26,"Cedar City, UT",United States,,Fatal(2),Destroyed,Airplane,Piper,PA-28R-200,No,1.0,Reciprocating,Business,,2.0,0.0,0.0,0.0,VMC,Cruise,Cedar City, UT,2007,10,26,2.0,0.0
20071121X01830,2007-11-06,"Garberville, CA",United States,Garberville Airport,Fatal(3),Destroyed,Airplane,Cessna,340,No,2.0,Reciprocating,Business,,3.0,0.0,0.0,0.0,IMC,Approach,Garberville, CA,2007,11,6,3.0,0.0
20071127X01856,2007-11-11,"SUGAR LAND, TX",United States,Sugar Land Regional Airport,Non-Fatal,Substantial,Airplane,Gulfstream Aerospace,G-IV,No,2.0,Turbo Fan,Business,,0.0,0.0,0.0,8.0,VMC,Landing,Sugar Land, TX,2007,11,11,8.0,1.0
20080210X00166,2008-01-02,"Brunswick, GA",United States,Malcolm McKinnon Airport,Non-Fatal,Substantial,Airplane,Beech,A36,No,1.0,Reciprocating,Business,BK Corporation,0.0,0.0,0.0,3.0,VMC,,Brunswick, GA,2008,1,2,3.0,1.0
20080215X00202,2008-01-15,"Fenner, NY",United States,Syracuse International Airport,Non-Fatal,Substantial,Helicopter,Robinson,R44 II,No,1.0,Reciprocating,Business,Adkins Aviation,0.0,1.0,0.0,3.0,IMC,,Fenner, NY,2008,1,15,4.0,1.0
20080228X00246,2008-02-10,"Carefree, AZ",United States,Sky Ranch Airport at Carefree,Non-Fatal,Substantial,Airplane,Cessna,P210N,No,1.0,Reciprocating,Business,,0.0,0.0,0.0,1.0,VMC,,Carefree, AZ,2008,2,10,1.0,1.0
